source,target,edge_type,weight,metadata
CUST_00001,TXN_03403,INITIATED,1.0,"{""timestamp"": ""2026-01-21T15:45:53""}"
CUST_00001,DEV_0244,USES_DEVICE,1.0,{}
CUST_00001,DEV_0244,USES_DEVICE,1.0,{}
CUST_00001,DEV_0244,USES_DEVICE,1.0,{}
CUST_00001,IP_00942,USES_IP,1.0,{}
CUST_00001,IP_00942,USES_IP,1.0,{}
CUST_00001,PM_0449,USES_PAYMENT,1.0,{}
CUST_00001,TXN_06313,INITIATED,1.0,"{""timestamp"": ""2026-02-08T10:19:32""}"
CUST_00001,IP_00951,USES_IP,1.0,{}
CUST_00001,PM_0013,USES_PAYMENT,1.0,{}
CUST_00001,PM_0013,USES_PAYMENT,1.0,{}
CUST_00001,TXN_06608,INITIATED,1.0,"{""timestamp"": ""2026-02-10T06:04:30""}"
CUST_00002,TXN_04333,INITIATED,1.0,"{""timestamp"": ""2026-01-27T10:59:03""}"
CUST_00002,DEV_0101,USES_DEVICE,1.0,{}
CUST_00002,IP_00270,USES_IP,1.0,{}
CUST_00002,PM_0405,USES_PAYMENT,1.0,{}
CUST_00003,TXN_01172,INITIATED,1.0,"{""timestamp"": ""2026-01-08T04:49:23""}"
CUST_00003,DEV_0076,USES_DEVICE,1.0,{}
CUST_00003,DEV_0076,USES_DEVICE,1.0,{}
CUST_00003,DEV_0076,USES_DEVICE,1.0,{}
CUST_00003,DEV_0076,USES_DEVICE,1.0,{}
CUST_00003,DEV_0076,USES_DEVICE,1.0,{}
CUST_00003,IP_00765,USES_IP,1.0,{}
CUST_00003,IP_00765,USES_IP,1.0,{}
CUST_00003,IP_00765,USES_IP,1.0,{}
CUST_00003,IP_00765,USES_IP,1.0,{}
CUST_00003,IP_00765,USES_IP,1.0,{}
CUST_00003,PM_0006,USES_PAYMENT,1.0,{}
CUST_00003,PM_0006,USES_PAYMENT,1.0,{}
CUST_00003,PM_0006,USES_PAYMENT,1.0,{}
CUST_00003,PM_0006,USES_PAYMENT,1.0,{}
CUST_00003,PM_0006,USES_PAYMENT,1.0,{}
CUST_00003,TXN_01606,INITIATED,1.0,"{""timestamp"": ""2026-01-10T15:00:00""}"
CUST_00003,TXN_01845,INITIATED,1.0,"{""timestamp"": ""2026-01-12T06:50:43""}"
CUST_00003,TXN_05755,INITIATED,1.0,"{""timestamp"": ""2026-02-05T03:33:15""}"
CUST_00003,TXN_08024,INITIATED,1.0,"{""timestamp"": ""2026-02-18T09:45:51""}"
CUST_00004,TXN_00313,INITIATED,1.0,"{""timestamp"": ""2026-01-02T16:03:59""}"
CUST_00004,DEV_0451,USES_DEVICE,1.0,{}
CUST_00004,DEV_0451,USES_DEVICE,1.0,{}
CUST_00004,DEV_0451,USES_DEVICE,1.0,{}
CUST_00004,DEV_0451,USES_DEVICE,1.0,{}
CUST_00004,DEV_0451,USES_DEVICE,1.0,{}
CUST_00004,DEV_0451,USES_DEVICE,1.0,{}
CUST_00004,DEV_0451,USES_DEVICE,1.0,{}
CUST_00004,DEV_0451,USES_DEVICE,1.0,{}
CUST_00004,IP_00328,USES_IP,1.0,{}
CUST_00004,IP_00328,USES_IP,1.0,{}
CUST_00004,IP_00328,USES_IP,1.0,{}
CUST_00004,IP_00328,USES_IP,1.0,{}
CUST_00004,IP_00328,USES_IP,1.0,{}
CUST_00004,IP_00328,USES_IP,1.0,{}
CUST_00004,IP_00328,USES_IP,1.0,{}
CUST_00004,PM_0148,USES_PAYMENT,1.0,{}
CUST_00004,TXN_01493,INITIATED,1.0,"{""timestamp"": ""2026-01-10T03:02:04""}"
CUST_00004,PM_0441,USES_PAYMENT,1.0,{}
CUST_00004,PM_0441,USES_PAYMENT,1.0,{}
CUST_00004,PM_0441,USES_PAYMENT,1.0,{}
CUST_00004,PM_0441,USES_PAYMENT,1.0,{}
CUST_00004,PM_0441,USES_PAYMENT,1.0,{}
CUST_00004,PM_0441,USES_PAYMENT,1.0,{}
CUST_00004,PM_0441,USES_PAYMENT,1.0,{}
CUST_00004,TXN_03260,INITIATED,1.0,"{""timestamp"": ""2026-01-20T14:48:24""}"
CUST_00004,IP_00592,USES_IP,1.0,{}
CUST_00004,TXN_03906,INITIATED,1.0,"{""timestamp"": ""2026-01-25T00:44:00""}"
CUST_00004,TXN_05019,INITIATED,1.0,"{""timestamp"": ""2026-01-31T15:10:15""}"
CUST_00004,TXN_05609,INITIATED,1.0,"{""timestamp"": ""2026-02-04T06:19:14""}"
CUST_00004,TXN_07503,INITIATED,1.0,"{""timestamp"": ""2026-02-15T10:47:40""}"
CUST_00004,TXN_08624,INITIATED,1.0,"{""timestamp"": ""2026-02-21T15:03:37""}"
CUST_00005,TXN_00624,INITIATED,1.0,"{""timestamp"": ""2026-01-04T15:06:26""}"
CUST_00005,DEV_0246,USES_DEVICE,1.0,{}
CUST_00005,DEV_0246,USES_DEVICE,1.0,{}
CUST_00005,IP_00398,USES_IP,1.0,{}
CUST_00005,IP_00398,USES_IP,1.0,{}
CUST_00005,IP_00398,USES_IP,1.0,{}
