node_id,node_type,label,metadata
CUST_00001,Customer,CUST_00001,"{""age"": 39, ""segment"": ""PREMIUM"", ""account_age_days"": 875, ""country"": ""IN"", ""city"": ""Surat"", ""account_created_at"": ""2023-10-08T16:59:57""}"
CUST_00002,Customer,CUST_00002,"{""age"": 32, ""segment"": ""SALARIED"", ""account_age_days"": 1038, ""country"": ""IN"", ""city"": ""Pune"", ""account_created_at"": ""2023-04-28T01:21:50""}"
CUST_00003,Customer,CUST_00003,"{""age"": 41, ""segment"": ""SALARIED"", ""account_age_days"": 574, ""country"": ""IN"", ""city"": ""Surat"", ""account_created_at"": ""2024-08-04T18:28:54""}"
CUST_00004,Customer,CUST_00004,"{""age"": 50, ""segment"": ""RETAIL"", ""account_age_days"": 187, ""country"": ""IN"", ""city"": ""Delhi"", ""account_created_at"": ""2025-08-26T22:37:18""}"
CUST_00005,Customer,CUST_00005,"{""age"": 31, ""segment"": ""STUDENT"", ""account_age_days"": 284, ""country"": ""IN"", ""city"": ""Pune"", ""account_created_at"": ""2025-05-21T19:28:45""}"
CUST_00006,Customer,CUST_00006,"{""age"": 31, ""segment"": ""SME"", ""account_age_days"": 776, ""country"": ""IN"", ""city"": ""Mumbai"", ""account_created_at"": ""2024-01-15T09:13:47""}"
CUST_00007,Customer,CUST_00007,"{""age"": 51, ""segment"": ""STUDENT"", ""account_age_days"": 798, ""country"": ""IN"", ""city"": ""Mumbai"", ""account_created_at"": ""2023-12-24T00:51:43""}"
CUST_00008,Customer,CUST_00008,"{""age"": 42, ""segment"": ""PREMIUM"", ""account_age_days"": 961, ""country"": ""IN"", ""city"": ""Ahmedabad"", ""account_created_at"": ""2023-07-14T06:41:25""}"
CUST_00009,Customer,CUST_00009,"{""age"": 28, ""segment"": ""RETAIL"", ""account_age_days"": 447, ""country"": ""IN"", ""city"": ""Ahmedabad"", ""account_created_at"": ""2024-12-09T06:37:39""}"
CUST_00010,Customer,CUST_00010,"{""age"": 39, ""segment"": ""RETAIL"", ""account_age_days"": 1200, ""country"": ""IN"", ""city"": ""Delhi"", ""account_created_at"": ""2022-11-17T18:55:26""}"
CUST_00011,Customer,CUST_00011,"{""age"": 28, ""segment"": ""RETAIL"", ""account_age_days"": 604, ""country"": ""IN"", ""city"": ""Mumbai"", ""account_created_at"": ""2024-07-05T06:36:30""}"
CUST_00012,Customer,CUST_00012,"{""age"": 28, ""segment"": ""SALARIED"", ""account_age_days"": 1101, ""country"": ""IN"", ""city"": ""Mumbai"", ""account_created_at"": ""2023-02-24T11:13:48""}"
CUST_00013,Customer,CUST_00013,"{""age"": 36, ""segment"": ""STUDENT"", ""account_age_days"": 810, ""country"": ""IN"", ""city"": ""Bengaluru"", ""account_created_at"": ""2023-12-12T04:44:39""}"
