ring_id,customer_id,individual_risk_score,network_risk_score,is_core_member
FR_001,CUST_00803,41.78,71.0,False
FR_001,CUST_01466,10.37,71.0,False
FR_001,CUST_00080,9.53,71.0,False
FR_001,CUST_00321,12.81,71.0,False
FR_001,CUST_00560,11.9,71.0,False
FR_001,CUST_00353,8.75,71.0,False
FR_001,CUST_01022,21.27,71.0,False
FR_001,CUST_00609,12.91,71.0,False
FR_001,CUST_01800,10.51,71.0,False
FR_001,CUST_00542,21.79,71.0,False
FR_001,CUST_01336,16.94,71.0,False
FR_001,CUST_00200,10.45,71.0,False
FR_001,CUST_01175,9.42,71.0,False
FR_001,CUST_01365,9.15,71.0,False
FR_001,CUST_00263,10.17,71.0,False
FR_001,CUST_00370,13.92,71.0,False
FR_001,CUST_01603,8.33,71.0,False
FR_001,CUST_00333,15.95,71.0,False
FR_001,CUST_00233,8.58,71.0,False
FR_001,CUST_00497,11.58,71.0,False
FR_001,CUST_01350,14.8,71.0,False
FR_001,CUST_01762,7.86,71.0,False
FR_001,CUST_01226,17.06,71.0,False
FR_001,CUST_00613,13.24,71.0,False
FR_001,CUST_01561,42.2,71.0,False
FR_001,CUST_01478,13.5,71.0,False
FR_001,CUST_00565,8.98,71.0,False
FR_001,CUST_01162,10.61,71.0,False
FR_001,CUST_00550,8.43,71.0,False
FR_001,CUST_01857,9.29,71.0,False
FR_001,CUST_00412,9.51,71.0,False
FR_001,CUST_01655,12.0,71.0,False
FR_001,CUST_00423,8.02,71.0,False
FR_001,CUST_00869,34.28,71.0,False
FR_001,CUST_00593,7.69,71.0,False
FR_001,CUST_00474,8.44,71.0,False
FR_001,CUST_00811,13.81,71.0,False
FR_001,CUST_01435,28.82,71.0,False
FR_001,CUST_01666,16.99,71.0,False
FR_001,CUST_01569,9.51,71.0,False
FR_001,CUST_01938,15.04,71.0,False
FR_001,CUST_00724,41.72,71.0,False
FR_001,CUST_01521,9.9,71.0,False
FR_001,CUST_01667,10.84,71.0,False
FR_001,CUST_01951,15.4,71.0,False
FR_001,CUST_01282,16.24,71.0,True
FR_001,CUST_00531,17.15,71.0,False
FR_001,CUST_01527,14.69,71.0,False
FR_001,CUST_01440,13.03,71.0,False
FR_001,CUST_01492,23.13,71.0,False
FR_001,CUST_01414,16.14,71.0,False
FR_001,CUST_00992,20.35,71.0,False
FR_001,CUST_00213,8.83,71.0,False
FR_002,CUST_00420,9.58,69.5,False
FR_002,CUST_01154,13.53,69.5,False
FR_002,CUST_01866,9.33,69.5,False
FR_002,CUST_00500,21.9,69.5,False
FR_002,CUST_00855,12.85,69.5,False
FR_002,CUST_01501,12.88,69.5,False
FR_002,CUST_00131,10.64,69.5,False
FR_002,CUST_00624,30.76,69.5,False
FR_002,CUST_01321,15.36,69.5,False
FR_002,CUST_00451,6.99,69.5,False
FR_002,CUST_01475,12.31,69.5,False
FR_002,CUST_01125,15.64,69.5,False
FR_002,CUST_00214,15.32,69.5,False
FR_002,CUST_01126,10.07,69.5,False
FR_002,CUST_00251,9.44,69.5,False
FR_002,CUST_01337,20.51,69.5,False
FR_002,CUST_01000,11.47,69.5,False
FR_002,CUST_01727,8.14,69.5,False
FR_002,CUST_01477,10.96,69.5,False
FR_002,CUST_01795,12.39,69.5,False
FR_002,CUST_01836,10.48,69.5,False
FR_002,CUST_00676,16.79,69.5,False
FR_002,CUST_00885,9.7,69.5,False
FR_002,CUST_01909,9.7,69.5,False
FR_002,CUST_00628,36.26,69.5,False
FR_002,CUST_01003,50.49,69.5,False
FR_002,CUST_00450,9.74,69.5,False
FR_002,CUST_01982,16.83,69.5,False
FR_002,CUST_00266,8.61,69.5,False
FR_002,CUST_00515,35.25,69.5,False
FR_002,CUST_00567,7.75,69.5,False
FR_002,CUST_00166,41.23,69.5,False
FR_002,CUST_00405,39.05,69.5,False
FR_002,CUST_01374,13.67,69.5,False
FR_002,CUST_01345,7.57,69.5,False
FR_002,CUST_00382,12.49,69.5,False
FR_002,CUST_00081,35.21,69.5,False
FR_002,CUST_00813,12.91,69.5,False
FR_002,CUST_00348,41.71,69.5,False
FR_002,CUST_01111,12.14,69.5,False
FR_002,CUST_01180,9.61,69.5,True
FR_002,CUST_01799,32.25,69.5,False
FR_002,CUST_01065,16.52,69.5,False
FR_002,CUST_01200,8.67,69.5,False
FR_002,CUST_01758,17.09,69.5,False
FR_002,CUST_00684,21.33,69.5,False
FR_002,CUST_00761,20.39,69.5,False
FR_002,CUST_01408,9.39,69.5,False
FR_002,CUST_01958,18.57,69.5,False
FR_002,CUST_00699,10.13,69.5,False
FR_002,CUST_00630,17.36,69.5,False
FR_002,CUST_01930,14.35,69.5,False
FR_003,CUST_00192,8.83,85.0,False
FR_003,CUST_00547,10.3,85.0,False
FR_003,CUST_00552,15.17,85.0,False
FR_003,CUST_00117,15.75,85.0,False
FR_003,CUST_01009,7.87,85.0,False
FR_003,CUST_00675,28.21,85.0,False
FR_003,CUST_00902,14.35,85.0,False
FR_003,CUST_01045,14.01,85.0,True
FR_003,CUST_00558,8.46,85.0,False
FR_003,CUST_00666,19.97,85.0,False
FR_003,CUST_00058,13.39,85.0,False
FR_003,CUST_00767,10.38,85.0,False
FR_003,CUST_01405,14.97,85.0,False
FR_003,CUST_01507,10.9,85.0,False
FR_003,CUST_00368,9.04,85.0,False
