device_id,device_type,os,device_age_days
DEV_0001,MOBILE,Android,578
DEV_0002,MOBILE,Android,224
DEV_0003,MOBILE,iOS,193
DEV_0004,MOBILE,Android,206
DEV_0005,MOBILE,Android,69
DEV_0006,MOBILE,Android,1451
DEV_0007,MOBILE,Android,1221
DEV_0008,MOBILE,iOS,1569
DEV_0009,DESKTOP,Windows,711
DEV_0010,MOBILE,Android,1578
DEV_0011,MOBILE,Android,213
DEV_0012,MOBILE,Android,556
DEV_0013,DESKTOP,macOS,1113
DEV_0014,MOBILE,iOS,176
DEV_0015,MOBILE,iOS,1281
DEV_0016,DESKTOP,Windows,408
DEV_0017,MOBILE,Android,481
DEV_0018,DESKTOP,Linux,1766
DEV_0019,MOBILE,Android,584
DEV_0020,MOBILE,iOS,348
DEV_0021,MOBILE,Android,561
DEV_0022,MOBILE,Android,161
DEV_0023,MOBILE,Android,1508
DEV_0024,MOBILE,Android,567
DEV_0025,TABLET,iPadOS,1155
DEV_0026,MOBILE,Android,1588
DEV_0027,DESKTOP,Windows,80
DEV_0028,DESKTOP,Windows,150
DEV_0029,MOBILE,iOS,1485
DEV_0030,MOBILE,Android,825
DEV_0031,DESKTOP,Windows,307
DEV_0032,MOBILE,Android,1164
DEV_0033,MOBILE,Android,892
DEV_0034,DESKTOP,Windows,464
DEV_0035,TABLET,Android,1025
DEV_0036,MOBILE,Android,239
DEV_0037,MOBILE,Android,1408
DEV_0038,MOBILE,Android,796
DEV_0039,MOBILE,Android,529
DEV_0040,TABLET,iPadOS,38
DEV_0041,MOBILE,Android,1114
DEV_0042,DESKTOP,macOS,711
DEV_0043,MOBILE,Android,944
DEV_0044,MOBILE,Android,1488
DEV_0045,MOBILE,Android,380
DEV_0046,MOBILE,Android,1295
DEV_0047,MOBILE,Android,1262
DEV_0048,MOBILE,Android,345
DEV_0049,MOBILE,Android,1101
DEV_0050,DESKTOP,Windows,1015
DEV_0051,MOBILE,iOS,1718
DEV_0052,DESKTOP,Windows,508
DEV_0053,DESKTOP,macOS,190
DEV_0054,MOBILE,iOS,1572
DEV_0055,MOBILE,Android,1366
DEV_0056,MOBILE,Android,557
DEV_0057,MOBILE,Android,448
DEV_0058,DESKTOP,macOS,1427
DEV_0059,MOBILE,Android,1390
DEV_0060,MOBILE,Android,1074
DEV_0061,MOBILE,Android,146
DEV_0062,MOBILE,Android,486
DEV_0063,MOBILE,Android,1464
DEV_0064,MOBILE,Android,79
DEV_0065,DESKTOP,Windows,502
DEV_0066,MOBILE,Android,1119
DEV_0067,MOBILE,iOS,1184
DEV_0068,MOBILE,Android,983
DEV_0069,DESKTOP,Windows,213
DEV_0070,MOBILE,Android,856
DEV_0071,MOBILE,Android,1394
DEV_0072,MOBILE,Android,139
DEV_0073,MOBILE,Android,1779
DEV_0074,MOBILE,Android,1113
DEV_0075,MOBILE,Android,585
DEV_0076,MOBILE,iOS,169
DEV_0077,MOBILE,iOS,1142
DEV_0078,MOBILE,Android,1122
DEV_0079,DESKTOP,Linux,1558
DEV_0080,DESKTOP,Windows,1009
DEV_0081,MOBILE,iOS,135
DEV_0082,MOBILE,Android,814
DEV_0083,MOBILE,Android,946
DEV_0084,MOBILE,Android,1511
DEV_0085,TABLET,Android,1486
DEV_0086,MOBILE,Android,460
DEV_0087,TABLET,Android,1125
DEV_0088,MOBILE,Android,117
DEV_0089,MOBILE,Android,1761
DEV_0090,MOBILE,Android,1055
DEV_0091,MOBILE,Android,1233
DEV_0092,MOBILE,iOS,841
DEV_0093,MOBILE,iOS,519
DEV_0094,MOBILE,Android,182
DEV_0095,MOBILE,Android,1085
DEV_0096,MOBILE,Android,1386
DEV_0097,MOBILE,Android,825
DEV_0098,MOBILE,Android,951
DEV_0099,MOBILE,Android,163
DEV_0100,MOBILE,Android,1168
DEV_0101,TABLET,Android,451
DEV_0102,MOBILE,Android,729
DEV_0103,DESKTOP,macOS,771
DEV_0104,MOBILE,Android,1127
DEV_0105,MOBILE,Android,1667
DEV_0106,MOBILE,Android,1688
DEV_0107,MOBILE,iOS,227
DEV_0108,DESKTOP,Windows,251
DEV_0109,DESKTOP,macOS,333
DEV_0110,MOBILE,Android,1484
DEV_0111,MOBILE,Android,1761
DEV_0112,MOBILE,Android,1747
DEV_0113,MOBILE,Android,1713
DEV_0114,MOBILE,Android,1594
DEV_0115,MOBILE,iOS,345
DEV_0116,MOBILE,Android,890
DEV_0117,MOBILE,Android,1430
DEV_0118,DESKTOP,Windows,1724
DEV_0119,MOBILE,Android,895
DEV_0120,MOBILE,Android,1645
DEV_0121,TABLET,Android,747
DEV_0122,MOBILE,Android,225
DEV_0123,MOBILE,Android,847
DEV_0124,TABLET,iPadOS,499
DEV_0125,DESKTOP,Linux,1675
DEV_0126,MOBILE,Android,382
DEV_0127,MOBILE,Android,858
DEV_0128,DESKTOP,macOS,1675
DEV_0129,MOBILE,Android,1451
DEV_0130,MOBILE,iOS,1773
DEV_0131,MOBILE,Android,957
DEV_0132,MOBILE,iOS,1799
DEV_0133,MOBILE,Android,410
DEV_0134,MOBILE,Android,157
DEV_0135,TABLET,Android,1328
DEV_0136,MOBILE,Android,1742
DEV_0137,MOBILE,iOS,251
DEV_0138,DESKTOP,Windows,1204
DEV_0139,TABLET,Android,237
DEV_0140,MOBILE,Android,1625
DEV_0141,MOBILE,Android,1062
DEV_0142,MOBILE,iOS,404
DEV_0143,MOBILE,Android,18
