ip_id,ip_type,country,city
IP_00001,RESIDENTIAL,IN,Pune
IP_00002,RESIDENTIAL,IN,Kolkata
IP_00003,RESIDENTIAL,IN,Surat
IP_00004,DATACENTER,US,Pune
IP_00005,VPN,IN,Chennai
IP_00006,MOBILE_CARRIER,IN,Kolkata
IP_00007,RESIDENTIAL,IN,Bengaluru
IP_00008,RESIDENTIAL,IN,Kolkata
IP_00009,MOBILE_CARRIER,IN,Pune
IP_00010,MOBILE_CARRIER,IN,Jaipur
IP_00011,RESIDENTIAL,IN,Kolkata
IP_00012,MOBILE_CARRIER,IN,Mumbai
IP_00013,RESIDENTIAL,IN,Delhi
IP_00014,PUBLIC_WIFI,IN,Pune
IP_00015,VPN,IN,Ahmedabad
IP_00016,PUBLIC_WIFI,IN,Delhi
IP_00017,RESIDENTIAL,IN,Bengaluru
IP_00018,MOBILE_CARRIER,IN,Jaipur
IP_00019,MOBILE_CARRIER,IN,Jaipur
IP_00020,RESIDENTIAL,IN,Pune
IP_00021,DATACENTER,GB,Surat
IP_00022,RESIDENTIAL,IN,Delhi
IP_00023,MOBILE_CARRIER,IN,Surat
IP_00024,MOBILE_CARRIER,IN,Delhi
IP_00025,MOBILE_CARRIER,IN,Mumbai
IP_00026,RESIDENTIAL,IN,Hyderabad
IP_00027,PUBLIC_WIFI,IN,Surat
IP_00028,RESIDENTIAL,IN,Ahmedabad
IP_00029,RESIDENTIAL,IN,Hyderabad
IP_00030,RESIDENTIAL,IN,Ahmedabad
IP_00031,VPN,IN,Hyderabad
IP_00032,VPN,IN,Ahmedabad
IP_00033,RESIDENTIAL,IN,Kolkata
IP_00034,MOBILE_CARRIER,IN,Kolkata
IP_00035,PUBLIC_WIFI,IN,Hyderabad
IP_00036,MOBILE_CARRIER,IN,Delhi
IP_00037,DATACENTER,IN,Mumbai
IP_00038,DATACENTER,IN,Jaipur
IP_00039,MOBILE_CARRIER,IN,Jaipur
IP_00040,DATACENTER,US,Chennai
IP_00041,RESIDENTIAL,IN,Jaipur
IP_00042,RESIDENTIAL,IN,Kolkata
IP_00043,RESIDENTIAL,IN,Hyderabad
IP_00044,MOBILE_CARRIER,IN,Pune
IP_00045,VPN,NL,Kolkata
IP_00046,RESIDENTIAL,IN,Kolkata
IP_00047,PUBLIC_WIFI,IN,Pune
IP_00048,RESIDENTIAL,IN,Pune
IP_00049,VPN,IN,Pune
IP_00050,RESIDENTIAL,IN,Chennai
IP_00051,VPN,IN,Ahmedabad
IP_00052,RESIDENTIAL,IN,Ahmedabad
IP_00053,RESIDENTIAL,IN,Mumbai
IP_00054,VPN,IN,Mumbai
IP_00055,MOBILE_CARRIER,IN,Jaipur
IP_00056,VPN,IN,Surat
IP_00057,RESIDENTIAL,IN,Chennai
IP_00058,RESIDENTIAL,IN,Bengaluru
IP_00059,RESIDENTIAL,IN,Kolkata
IP_00060,MOBILE_CARRIER,IN,Surat
IP_00061,MOBILE_CARRIER,IN,Bengaluru
IP_00062,MOBILE_CARRIER,IN,Ahmedabad
IP_00063,MOBILE_CARRIER,IN,Mumbai
IP_00064,MOBILE_CARRIER,IN,Surat
IP_00065,RESIDENTIAL,IN,Delhi
IP_00066,RESIDENTIAL,IN,Mumbai
IP_00067,MOBILE_CARRIER,IN,Hyderabad
IP_00068,MOBILE_CARRIER,IN,Delhi
IP_00069,MOBILE_CARRIER,IN,Bengaluru
IP_00070,MOBILE_CARRIER,IN,Pune
IP_00071,RESIDENTIAL,IN,Jaipur
IP_00072,MOBILE_CARRIER,IN,Jaipur
IP_00073,MOBILE_CARRIER,IN,Kolkata
IP_00074,DATACENTER,IN,Mumbai
IP_00075,PUBLIC_WIFI,IN,Chennai
IP_00076,MOBILE_CARRIER,IN,Pune
IP_00077,MOBILE_CARRIER,IN,Pune
IP_00078,RESIDENTIAL,IN,Bengaluru
IP_00079,MOBILE_CARRIER,IN,Pune
IP_00080,RESIDENTIAL,IN,Pune
IP_00081,MOBILE_CARRIER,IN,Delhi
IP_00082,MOBILE_CARRIER,IN,Ahmedabad
IP_00083,PUBLIC_WIFI,IN,Ahmedabad
IP_00084,MOBILE_CARRIER,IN,Delhi
IP_00085,RESIDENTIAL,IN,Ahmedabad
IP_00086,RESIDENTIAL,IN,Hyderabad
IP_00087,RESIDENTIAL,IN,Hyderabad
IP_00088,DATACENTER,IN,Pune
IP_00089,MOBILE_CARRIER,IN,Jaipur
IP_00090,MOBILE_CARRIER,IN,Mumbai
IP_00091,MOBILE_CARRIER,IN,Hyderabad
IP_00092,RESIDENTIAL,IN,Mumbai
IP_00093,DATACENTER,IN,Pune
IP_00094,MOBILE_CARRIER,IN,Kolkata
IP_00095,DATACENTER,IN,Ahmedabad
IP_00096,RESIDENTIAL,IN,Delhi
IP_00097,MOBILE_CARRIER,IN,Ahmedabad
IP_00098,RESIDENTIAL,IN,Jaipur
IP_00099,RESIDENTIAL,IN,Bengaluru
IP_00100,MOBILE_CARRIER,IN,Bengaluru
IP_00101,RESIDENTIAL,IN,Delhi
IP_00102,MOBILE_CARRIER,IN,Pune
IP_00103,RESIDENTIAL,IN,Pune
IP_00104,MOBILE_CARRIER,IN,Chennai
IP_00105,RESIDENTIAL,IN,Kolkata
IP_00106,RESIDENTIAL,IN,Ahmedabad
IP_00107,RESIDENTIAL,IN,Mumbai
IP_00108,MOBILE_CARRIER,IN,Pune
IP_00109,MOBILE_CARRIER,IN,Kolkata
IP_00110,RESIDENTIAL,IN,Mumbai
IP_00111,RESIDENTIAL,IN,Kolkata
IP_00112,RESIDENTIAL,IN,Delhi
IP_00113,PUBLIC_WIFI,IN,Delhi
IP_00114,MOBILE_CARRIER,IN,Ahmedabad
IP_00115,RESIDENTIAL,IN,Bengaluru
IP_00116,RESIDENTIAL,IN,Pune
IP_00117,RESIDENTIAL,IN,Surat
IP_00118,RESIDENTIAL,IN,Delhi
IP_00119,MOBILE_CARRIER,IN,Pune
IP_00120,RESIDENTIAL,IN,Bengaluru
IP_00121,MOBILE_CARRIER,IN,Jaipur
IP_00122,RESIDENTIAL,IN,Pune
IP_00123,MOBILE_CARRIER,IN,Hyderabad
IP_00124,PUBLIC_WIFI,IN,Mumbai
IP_00125,MOBILE_CARRIER,IN,Ahmedabad
IP_00126,MOBILE_CARRIER,IN,Jaipur
IP_00127,RESIDENTIAL,IN,Chennai
IP_00128,MOBILE_CARRIER,IN,Hyderabad
IP_00129,PUBLIC_WIFI,IN,Chennai
IP_00130,MOBILE_CARRIER,IN,Ahmedabad
IP_00131,RESIDENTIAL,IN,Delhi
IP_00132,DATACENTER,IN,Ahmedabad
IP_00133,MOBILE_CARRIER,IN,Bengaluru
IP_00134,MOBILE_CARRIER,IN,Pune
IP_00135,MOBILE_CARRIER,IN,Bengaluru
IP_00136,MOBILE_CARRIER,IN,Chennai
IP_00137,DATACENTER,IN,Delhi
IP_00138,VPN,IN,Delhi
IP_00139,MOBILE_CARRIER,IN,Bengaluru
IP_00140,PUBLIC_WIFI,IN,Delhi
IP_00141,RESIDENTIAL,IN,Ahmedabad
IP_00142,RESIDENTIAL,IN,Jaipur
IP_00143,MOBILE_CARRIER,IN,Ahmedabad
IP_00144,MOBILE_CARRIER,IN,Jaipur
IP_00145,RESIDENTIAL,IN,Bengaluru
IP_00146,RESIDENTIAL,IN,Kolkata
IP_00147,PUBLIC_WIFI,IN,Ahmedabad
IP_00148,MOBILE_CARRIER,IN,Kolkata
IP_00149,MOBILE_CARRIER,IN,Bengaluru
IP_00150,RESIDENTIAL,IN,Pune
IP_00151,MOBILE_CARRIER,IN,Ahmedabad
IP_00152,MOBILE_CARRIER,IN,Jaipur
IP_00153,RESIDENTIAL,IN,Jaipur
IP_00154,MOBILE_CARRIER,IN,Delhi
IP_00155,MOBILE_CARRIER,IN,Delhi
IP_00156,RESIDENTIAL,IN,Mumbai
IP_00157,MOBILE_CARRIER,IN,Jaipur
IP_00158,RESIDENTIAL,IN,Delhi
IP_00159,RESIDENTIAL,IN,Hyderabad
IP_00160,RESIDENTIAL,IN,Jaipur
IP_00161,DATACENTER,IN,Bengaluru
IP_00162,MOBILE_CARRIER,IN,Jaipur
IP_00163,RESIDENTIAL,IN,Chennai
IP_00164,MOBILE_CARRIER,IN,Bengaluru
