merchant_id,merchant_category,merchant_size,city
MERCH_0001,JEWELRY,ENTERPRISE,Jaipur
MERCH_0002,JEWELRY,SMALL,Mumbai
MERCH_0003,ECOMMERCE,MEDIUM,Kolkata
MERCH_0004,FASHION,SMALL,Pune
MERCH_0005,FASHION,LARGE,Delhi
MERCH_0006,DIGITAL_ENTERTAINMENT,SMALL,Chennai
MERCH_0007,JEWELRY,ENTERPRISE,Pune
MERCH_0008,GAMING,SMALL,Kolkata
MERCH_0009,ELECTRONICS,MEDIUM,Pune
MERCH_0010,GAMING,LARGE,Chennai
MERCH_0011,JEWELRY,SMALL,Delhi
MERCH_0012,FASHION,MEDIUM,Bengaluru
MERCH_0013,TRAVEL,LARGE,Jaipur
MERCH_0014,UTILITIES,LARGE,Hyderabad
MERCH_0015,GROCERY,LARGE,Delhi
MERCH_0016,JEWELRY,LARGE,Delhi
MERCH_0017,UTILITIES,MEDIUM,Jaipur
MERCH_0018,DIGITAL_ENTERTAINMENT,MEDIUM,Ahmedabad
MERCH_0019,TRAVEL,SMALL,Surat
MERCH_0020,ECOMMERCE,SMALL,Delhi
MERCH_0021,ECOMMERCE,SMALL,Chennai
MERCH_0022,JEWELRY,LARGE,Bengaluru
MERCH_0023,JEWELRY,MEDIUM,Chennai
MERCH_0024,GAMING,SMALL,Jaipur
MERCH_0025,TRAVEL,SMALL,Kolkata
MERCH_0026,FOOD_DELIVERY,SMALL,Surat
MERCH_0027,ELECTRONICS,MEDIUM,Jaipur
MERCH_0028,GROCERY,ENTERPRISE,Chennai
MERCH_0029,GAMING,SMALL,Jaipur
MERCH_0030,JEWELRY,LARGE,Ahmedabad
MERCH_0031,FOOD_DELIVERY,SMALL,Chennai
MERCH_0032,JEWELRY,MEDIUM,Delhi
MERCH_0033,GROCERY,MEDIUM,Pune
MERCH_0034,UTILITIES,MEDIUM,Surat
MERCH_0035,UTILITIES,LARGE,Bengaluru
MERCH_0036,FOOD_DELIVERY,SMALL,Hyderabad
MERCH_0037,GAMING,SMALL,Chennai
MERCH_0038,TRAVEL,MEDIUM,Kolkata
MERCH_0039,TRAVEL,LARGE,Pune
MERCH_0040,FASHION,MEDIUM,Ahmedabad
MERCH_0041,UTILITIES,SMALL,Mumbai
MERCH_0042,GROCERY,MEDIUM,Chennai
MERCH_0043,FOOD_DELIVERY,SMALL,Kolkata
MERCH_0044,FOOD_DELIVERY,SMALL,Ahmedabad
MERCH_0045,DIGITAL_ENTERTAINMENT,SMALL,Kolkata
MERCH_0046,DIGITAL_ENTERTAINMENT,LARGE,Bengaluru
MERCH_0047,FOOD_DELIVERY,SMALL,Delhi
MERCH_0048,FOOD_DELIVERY,MEDIUM,Kolkata
MERCH_0049,TRAVEL,SMALL,Chennai
MERCH_0050,JEWELRY,MEDIUM,Delhi
MERCH_0051,DIGITAL_ENTERTAINMENT,LARGE,Mumbai
MERCH_0052,ECOMMERCE,MEDIUM,Pune
MERCH_0053,JEWELRY,MEDIUM,Jaipur
MERCH_0054,TRAVEL,MEDIUM,Delhi
MERCH_0055,DIGITAL_ENTERTAINMENT,SMALL,Surat
MERCH_0056,JEWELRY,MEDIUM,Surat
MERCH_0057,UTILITIES,MEDIUM,Jaipur
MERCH_0058,TRAVEL,LARGE,Ahmedabad
MERCH_0059,DIGITAL_ENTERTAINMENT,SMALL,Bengaluru
MERCH_0060,JEWELRY,SMALL,Kolkata
MERCH_0061,TRAVEL,SMALL,Mumbai
MERCH_0062,ECOMMERCE,MEDIUM,Delhi
MERCH_0063,GAMING,SMALL,Jaipur
MERCH_0064,ECOMMERCE,MEDIUM,Ahmedabad
MERCH_0065,JEWELRY,SMALL,Kolkata
MERCH_0066,TRAVEL,MEDIUM,Mumbai
MERCH_0067,DIGITAL_ENTERTAINMENT,SMALL,Kolkata
