payment_method_id,payment_type,issuer_category
PM_0001,UPI,FINTECH_WALLET
PM_0002,WALLET,PRIVATE_BANK
PM_0003,UPI,PUBLIC_BANK
PM_0004,UPI,FINTECH_WALLET
PM_0005,UPI,PRIVATE_BANK
PM_0006,NET_BANKING,PRIVATE_BANK
PM_0007,CREDIT_CARD,PUBLIC_BANK
PM_0008,DEBIT_CARD,FINTECH_WALLET
PM_0009,UPI,PUBLIC_BANK
PM_0010,UPI,PRIVATE_BANK
PM_0011,CREDIT_CARD,PRIVATE_BANK
PM_0012,UPI,INTERNATIONAL_CARD
PM_0013,WALLET,FINTECH_WALLET
PM_0014,CREDIT_CARD,PRIVATE_BANK
PM_0015,UPI,PRIVATE_BANK
PM_0016,UPI,PUBLIC_BANK
PM_0017,UPI,PUBLIC_BANK
PM_0018,UPI,PRIVATE_BANK
PM_0019,WALLET,PRIVATE_BANK
PM_0020,UPI,PRIVATE_BANK
PM_0021,UPI,PUBLIC_BANK
PM_0022,DEBIT_CARD,FINTECH_WALLET
PM_0023,UPI,PUBLIC_BANK
PM_0024,UPI,PUBLIC_BANK
PM_0025,UPI,PUBLIC_BANK
PM_0026,NET_BANKING,PRIVATE_BANK
PM_0027,CREDIT_CARD,PRIVATE_BANK
PM_0028,WALLET,FINTECH_WALLET
PM_0029,UPI,PRIVATE_BANK
PM_0030,CREDIT_CARD,PRIVATE_BANK
PM_0031,UPI,NEOBANK
PM_0032,UPI,PUBLIC_BANK
PM_0033,UPI,PRIVATE_BANK
PM_0034,CREDIT_CARD,PUBLIC_BANK
PM_0035,UPI,PRIVATE_BANK
PM_0036,CREDIT_CARD,PRIVATE_BANK
PM_0037,NET_BANKING,NEOBANK
PM_0038,DEBIT_CARD,PRIVATE_BANK
PM_0039,UPI,PUBLIC_BANK
PM_0040,DEBIT_CARD,PRIVATE_BANK
PM_0041,DEBIT_CARD,PRIVATE_BANK
PM_0042,CREDIT_CARD,PRIVATE_BANK
PM_0043,UPI,PUBLIC_BANK
PM_0044,CREDIT_CARD,PRIVATE_BANK
PM_0045,CREDIT_CARD,PRIVATE_BANK
PM_0046,UPI,PUBLIC_BANK
PM_0047,CREDIT_CARD,PRIVATE_BANK
PM_0048,UPI,FINTECH_WALLET
PM_0049,UPI,INTERNATIONAL_CARD
PM_0050,UPI,INTERNATIONAL_CARD
PM_0051,DEBIT_CARD,INTERNATIONAL_CARD
PM_0052,UPI,FINTECH_WALLET
PM_0053,UPI,PUBLIC_BANK
PM_0054,UPI,INTERNATIONAL_CARD
PM_0055,UPI,PUBLIC_BANK
PM_0056,UPI,PUBLIC_BANK
PM_0057,DEBIT_CARD,PRIVATE_BANK
PM_0058,UPI,PRIVATE_BANK
PM_0059,DEBIT_CARD,PUBLIC_BANK
PM_0060,UPI,PRIVATE_BANK
PM_0061,UPI,PRIVATE_BANK
PM_0062,UPI,PRIVATE_BANK
PM_0063,CREDIT_CARD,NEOBANK
PM_0064,DEBIT_CARD,PRIVATE_BANK
PM_0065,UPI,PUBLIC_BANK
PM_0066,UPI,PRIVATE_BANK
PM_0067,UPI,FINTECH_WALLET
PM_0068,UPI,PUBLIC_BANK
PM_0069,UPI,PUBLIC_BANK
PM_0070,UPI,PUBLIC_BANK
PM_0071,NET_BANKING,PRIVATE_BANK
PM_0072,UPI,PRIVATE_BANK
PM_0073,UPI,PRIVATE_BANK
PM_0074,UPI,INTERNATIONAL_CARD
PM_0075,UPI,PRIVATE_BANK
PM_0076,UPI,NEOBANK
PM_0077,DEBIT_CARD,PUBLIC_BANK
PM_0078,UPI,INTERNATIONAL_CARD
PM_0079,UPI,PUBLIC_BANK
PM_0080,UPI,PUBLIC_BANK
PM_0081,CREDIT_CARD,PRIVATE_BANK
PM_0082,UPI,PRIVATE_BANK
PM_0083,DEBIT_CARD,PRIVATE_BANK
PM_0084,CREDIT_CARD,PUBLIC_BANK
PM_0085,UPI,FINTECH_WALLET
PM_0086,UPI,PUBLIC_BANK
PM_0087,UPI,PUBLIC_BANK
PM_0088,UPI,PRIVATE_BANK
PM_0089,UPI,PRIVATE_BANK
PM_0090,UPI,PRIVATE_BANK
PM_0091,UPI,PRIVATE_BANK
PM_0092,CREDIT_CARD,PRIVATE_BANK
PM_0093,UPI,FINTECH_WALLET
PM_0094,UPI,PRIVATE_BANK
PM_0095,UPI,PRIVATE_BANK
PM_0096,UPI,PRIVATE_BANK
PM_0097,DEBIT_CARD,FINTECH_WALLET
PM_0098,WALLET,PRIVATE_BANK
PM_0099,UPI,PUBLIC_BANK
PM_0100,UPI,NEOBANK
PM_0101,CREDIT_CARD,PRIVATE_BANK
PM_0102,UPI,PUBLIC_BANK
PM_0103,UPI,PUBLIC_BANK
PM_0104,CREDIT_CARD,PRIVATE_BANK
PM_0105,NET_BANKING,PRIVATE_BANK
PM_0106,UPI,PRIVATE_BANK
PM_0107,NET_BANKING,PRIVATE_BANK
PM_0108,UPI,NEOBANK
PM_0109,UPI,PUBLIC_BANK
PM_0110,DEBIT_CARD,FINTECH_WALLET
PM_0111,DEBIT_CARD,PRIVATE_BANK
PM_0112,CREDIT_CARD,PRIVATE_BANK
PM_0113,UPI,FINTECH_WALLET
PM_0114,DEBIT_CARD,PUBLIC_BANK
PM_0115,UPI,PRIVATE_BANK
PM_0116,UPI,FINTECH_WALLET
PM_0117,WALLET,PUBLIC_BANK
PM_0118,CREDIT_CARD,PRIVATE_BANK
PM_0119,UPI,PUBLIC_BANK
PM_0120,UPI,PRIVATE_BANK
PM_0121,DEBIT_CARD,PRIVATE_BANK
PM_0122,UPI,PRIVATE_BANK
PM_0123,DEBIT_CARD,PUBLIC_BANK
PM_0124,UPI,PRIVATE_BANK
PM_0125,WALLET,FINTECH_WALLET
PM_0126,UPI,NEOBANK
PM_0127,UPI,PRIVATE_BANK
PM_0128,UPI,PRIVATE_BANK
PM_0129,DEBIT_CARD,PRIVATE_BANK
PM_0130,DEBIT_CARD,FINTECH_WALLET
PM_0131,CREDIT_CARD,FINTECH_WALLET
PM_0132,UPI,PRIVATE_BANK
PM_0133,DEBIT_CARD,PRIVATE_BANK
PM_0134,UPI,PRIVATE_BANK
PM_0135,UPI,FINTECH_WALLET
PM_0136,UPI,PRIVATE_BANK
PM_0137,CREDIT_CARD,PUBLIC_BANK
PM_0138,WALLET,FINTECH_WALLET
PM_0139,UPI,PRIVATE_BANK
PM_0140,CREDIT_CARD,PRIVATE_BANK
PM_0141,CREDIT_CARD,PRIVATE_BANK
PM_0142,CREDIT_CARD,PRIVATE_BANK
PM_0143,UPI,FINTECH_WALLET
PM_0144,DEBIT_CARD,PRIVATE_BANK
PM_0145,UPI,NEOBANK
PM_0146,UPI,PRIVATE_BANK
PM_0147,UPI,PUBLIC_BANK
PM_0148,DEBIT_CARD,PUBLIC_BANK
PM_0149,UPI,PUBLIC_BANK
PM_0150,UPI,PRIVATE_BANK
PM_0151,UPI,FINTECH_WALLET
PM_0152,UPI,PRIVATE_BANK
PM_0153,CREDIT_CARD,PUBLIC_BANK
PM_0154,UPI,PUBLIC_BANK
PM_0155,WALLET,PRIVATE_BANK
PM_0156,UPI,PRIVATE_BANK
PM_0157,UPI,PRIVATE_BANK
PM_0158,DEBIT_CARD,PRIVATE_BANK
PM_0159,WALLET,PRIVATE_BANK
PM_0160,DEBIT_CARD,PRIVATE_BANK
PM_0161,CREDIT_CARD,PRIVATE_BANK
PM_0162,UPI,FINTECH_WALLET
PM_0163,DEBIT_CARD,FINTECH_WALLET
PM_0164,UPI,PRIVATE_BANK
PM_0165,CREDIT_CARD,PRIVATE_BANK
PM_0166,UPI,PRIVATE_BANK
PM_0167,UPI,PRIVATE_BANK
PM_0168,UPI,PRIVATE_BANK
PM_0169,CREDIT_CARD,PRIVATE_BANK
PM_0170,UPI,PRIVATE_BANK
PM_0171,UPI,FINTECH_WALLET
PM_0172,UPI,FINTECH_WALLET
PM_0173,CREDIT_CARD,PRIVATE_BANK
PM_0174,UPI,PUBLIC_BANK
PM_0175,UPI,FINTECH_WALLET
PM_0176,UPI,FINTECH_WALLET
PM_0177,UPI,PUBLIC_BANK
PM_0178,DEBIT_CARD,PUBLIC_BANK
PM_0179,CREDIT_CARD,PRIVATE_BANK
PM_0180,UPI,FINTECH_WALLET
PM_0181,UPI,PRIVATE_BANK
PM_0182,UPI,NEOBANK
PM_0183,UPI,PRIVATE_BANK
PM_0184,CREDIT_CARD,PRIVATE_BANK
PM_0185,CREDIT_CARD,NEOBANK
PM_0186,DEBIT_CARD,NEOBANK
PM_0187,CREDIT_CARD,PUBLIC_BANK
PM_0188,DEBIT_CARD,PUBLIC_BANK
PM_0189,CREDIT_CARD,PRIVATE_BANK
PM_0190,UPI,FINTECH_WALLET
PM_0191,UPI,PRIVATE_BANK
PM_0192,CREDIT_CARD,PUBLIC_BANK
PM_0193,UPI,PUBLIC_BANK
PM_0194,UPI,FINTECH_WALLET
PM_0195,UPI,PRIVATE_BANK
PM_0196,DEBIT_CARD,PRIVATE_BANK
PM_0197,DEBIT_CARD,PRIVATE_BANK
PM_0198,UPI,PRIVATE_BANK
PM_0199,CREDIT_CARD,PUBLIC_BANK
PM_0200,UPI,PRIVATE_BANK
PM_0201,CREDIT_CARD,NEOBANK
PM_0202,UPI,PRIVATE_BANK
PM_0203,WALLET,PUBLIC_BANK
PM_0204,UPI,PRIVATE_BANK
PM_0205,CREDIT_CARD,PRIVATE_BANK
PM_0206,CREDIT_CARD,PRIVATE_BANK
PM_0207,NET_BANKING,PRIVATE_BANK
PM_0208,CREDIT_CARD,FINTECH_WALLET
PM_0209,UPI,FINTECH_WALLET
PM_0210,UPI,PUBLIC_BANK
PM_0211,UPI,PRIVATE_BANK
PM_0212,UPI,PUBLIC_BANK
PM_0213,UPI,PRIVATE_BANK
PM_0214,WALLET,PRIVATE_BANK
PM_0215,UPI,PUBLIC_BANK
PM_0216,DEBIT_CARD,PUBLIC_BANK
PM_0217,UPI,PRIVATE_BANK
PM_0218,UPI,PRIVATE_BANK
PM_0219,CREDIT_CARD,PRIVATE_BANK
PM_0220,UPI,PRIVATE_BANK
PM_0221,UPI,PRIVATE_BANK
PM_0222,DEBIT_CARD,PRIVATE_BANK
PM_0223,CREDIT_CARD,PUBLIC_BANK
PM_0224,UPI,PRIVATE_BANK
PM_0225,DEBIT_CARD,PRIVATE_BANK
PM_0226,WALLET,PUBLIC_BANK
PM_0227,CREDIT_CARD,PUBLIC_BANK
PM_0228,DEBIT_CARD,FINTECH_WALLET
PM_0229,UPI,PUBLIC_BANK
PM_0230,CREDIT_CARD,PRIVATE_BANK
PM_0231,UPI,PRIVATE_BANK
PM_0232,CREDIT_CARD,PUBLIC_BANK
PM_0233,CREDIT_CARD,PUBLIC_BANK
PM_0234,UPI,INTERNATIONAL_CARD
PM_0235,UPI,NEOBANK
PM_0236,CREDIT_CARD,PUBLIC_BANK
PM_0237,UPI,PUBLIC_BANK
PM_0238,UPI,PUBLIC_BANK
PM_0239,DEBIT_CARD,PUBLIC_BANK
PM_0240,UPI,NEOBANK
PM_0241,UPI,NEOBANK
PM_0242,CREDIT_CARD,PRIVATE_BANK
PM_0243,CREDIT_CARD,FINTECH_WALLET
PM_0244,UPI,PRIVATE_BANK
PM_0245,CREDIT_CARD,PUBLIC_BANK
PM_0246,CREDIT_CARD,PRIVATE_BANK
PM_0247,WALLET,PRIVATE_BANK
PM_0248,DEBIT_CARD,PUBLIC_BANK
PM_0249,UPI,PRIVATE_BANK
PM_0250,UPI,FINTECH_WALLET
PM_0251,CREDIT_CARD,PUBLIC_BANK
PM_0252,UPI,NEOBANK
PM_0253,CREDIT_CARD,PRIVATE_BANK
PM_0254,CREDIT_CARD,PRIVATE_BANK
PM_0255,CREDIT_CARD,PUBLIC_BANK
PM_0256,UPI,PUBLIC_BANK
PM_0257,CREDIT_CARD,NEOBANK
PM_0258,UPI,PUBLIC_BANK
PM_0259,DEBIT_CARD,PRIVATE_BANK
PM_0260,DEBIT_CARD,PUBLIC_BANK
PM_0261,UPI,PRIVATE_BANK
PM_0262,UPI,PRIVATE_BANK
PM_0263,DEBIT_CARD,PRIVATE_BANK
PM_0264,UPI,PRIVATE_BANK
PM_0265,UPI,PRIVATE_BANK
PM_0266,UPI,PUBLIC_BANK
PM_0267,UPI,NEOBANK
PM_0268,DEBIT_CARD,PRIVATE_BANK
PM_0269,CREDIT_CARD,PUBLIC_BANK
PM_0270,CREDIT_CARD,PUBLIC_BANK
