transaction_id,customer_id,merchant_id,device_id,ip_id,payment_method_id,timestamp,amount,currency,transaction_status,payment_type,city,is_fraud,fraud_ring_id,fraud_type
TXN_00001,CUST_00309,MERCH_0078,DEV_0117,IP_00902,PM_0133,2026-01-01T00:04:24,14749.92,INR,SUCCESS,DEBIT_CARD,Chennai,0,,
TXN_00002,CUST_01143,MERCH_0095,DEV_0464,IP_00728,PM_0133,2026-01-01T00:11:44,276.23,INR,FAILED,DEBIT_CARD,Delhi,0,,
TXN_00003,CUST_01966,MERCH_0088,DEV_0087,IP_00353,PM_0411,2026-01-01T00:13:01,302.61,INR,SUCCESS,NET_BANKING,Mumbai,0,,
TXN_00004,CUST_01912,MERCH_0087,DEV_0295,IP_00905,PM_0260,2026-01-01T00:37:28,8471.49,INR,SUCCESS,DEBIT_CARD,Kolkata,0,,
TXN_00005,CUST_01073,MERCH_0052,DEV_0274,IP_00880,PM_0216,2026-01-01T00:48:27,132.14,INR,SUCCESS,DEBIT_CARD,Hyderabad,0,,
TXN_00006,CUST_00987,MERCH_0054,DEV_0392,IP_00807,PM_0127,2026-01-01T00:55:18,7602.87,INR,SUCCESS,UPI,Delhi,0,,
TXN_00007,CUST_01057,MERCH_0054,DEV_0149,IP_00295,PM_0228,2026-01-01T01:32:05,85070.13,INR,SUCCESS,DEBIT_CARD,Pune,0,,
TXN_00008,CUST_00659,MERCH_0035,DEV_0212,IP_00967,PM_0295,2026-01-01T01:37:54,4602.41,INR,SUCCESS,UPI,Pune,0,,
TXN_00009,CUST_00697,MERCH_0050,DEV_0405,IP_00617,PM_0196,2026-01-01T01:52:44,6377.74,INR,SUCCESS,DEBIT_CARD,Chennai,0,,
TXN_00010,CUST_00247,MERCH_0040,DEV_0028,IP_00187,PM_0492,2026-01-01T01:52:48,4231.52,INR,SUCCESS,UPI,Surat,0,,
TXN_00011,CUST_01870,MERCH_0055,DEV_0452,IP_00580,PM_0104,2026-01-01T01:53:19,314.96,INR,SUCCESS,CREDIT_CARD,Delhi,0,,
TXN_00012,CUST_00136,MERCH_0075,DEV_0392,IP_00794,PM_0408,2026-01-01T02:11:44,4935.4,INR,SUCCESS,NET_BANKING,Pune,0,,
TXN_00013,CUST_00782,MERCH_0024,DEV_0244,IP_00171,PM_0265,2026-01-01T02:24:06,631.55,INR,PENDING,UPI,Ahmedabad,0,,
TXN_00014,CUST_01219,MERCH_0080,DEV_0360,IP_00652,PM_0097,2026-01-01T02:33:29,346.37,INR,SUCCESS,DEBIT_CARD,Jaipur,0,,
TXN_00015,CUST_00513,MERCH_0082,DEV_0470,IP_00677,PM_0237,2026-01-01T02:51:20,5814.23,INR,SUCCESS,UPI,Ahmedabad,0,,
TXN_00016,CUST_01276,MERCH_0054,DEV_0047,IP_00941,PM_0073,2026-01-01T02:58:25,384.58,INR,SUCCESS,UPI,Kolkata,0,,
TXN_00017,CUST_01390,MERCH_0095,DEV_0389,IP_00624,PM_0490,2026-01-01T03:00:58,487.7,INR,PENDING,DEBIT_CARD,Chennai,0,,
TXN_00018,CUST_01972,MERCH_0047,DEV_0240,IP_00830,PM_0370,2026-01-01T03:01:41,119.31,INR,SUCCESS,UPI,Bengaluru,0,,
TXN_00019,CUST_00563,MERCH_0051,DEV_0136,IP_00011,PM_0086,2026-01-01T03:03:45,240.03,INR,SUCCESS,UPI,Hyderabad,0,,
TXN_00020,CUST_01247,MERCH_0049,DEV_0433,IP_00883,PM_0124,2026-01-01T03:05:12,247.67,INR,SUCCESS,UPI,Chennai,0,,
TXN_00021,CUST_01848,MERCH_0029,DEV_0430,IP_00644,PM_0338,2026-01-01T03:08:36,240.11,INR,PENDING,CREDIT_CARD,Surat,0,,
TXN_00022,CUST_00359,MERCH_0010,DEV_0428,IP_00938,PM_0419,2026-01-01T03:08:49,19637.11,INR,SUCCESS,CREDIT_CARD,Pune,0,,
TXN_00023,CUST_00087,MERCH_0046,DEV_0239,IP_00493,PM_0143,2026-01-01T03:22:24,355.35,INR,SUCCESS,UPI,Bengaluru,0,,
TXN_00024,CUST_01896,MERCH_0018,DEV_0391,IP_00758,PM_0059,2026-01-01T03:24:39,345.62,INR,SUCCESS,DEBIT_CARD,Kolkata,0,,
TXN_00025,CUST_00603,MERCH_0099,DEV_0382,IP_00769,PM_0238,2026-01-01T03:25:46,3236.48,INR,SUCCESS,UPI,Jaipur,0,,
TXN_00026,CUST_01852,MERCH_0001,DEV_0331,IP_00937,PM_0317,2026-01-01T03:54:33,877.23,INR,SUCCESS,UPI,Hyderabad,0,,
TXN_00027,CUST_01322,MERCH_0018,DEV_0476,IP_00902,PM_0009,2026-01-01T03:56:26,638.18,INR,SUCCESS,UPI,Jaipur,0,,
TXN_00028,CUST_01466,MERCH_0026,DEV_0389,IP_00246,PM_0361,2026-01-01T03:58:31,63.9,INR,SUCCESS,CREDIT_CARD,Hyderabad,0,,
TXN_00029,CUST_00203,MERCH_0057,DEV_0266,IP_00560,PM_0175,2026-01-01T04:15:55,502.44,INR,SUCCESS,UPI,Chennai,0,,
TXN_00030,CUST_00253,MERCH_0021,DEV_0310,IP_00882,PM_0090,2026-01-01T04:18:38,13203.07,INR,SUCCESS,UPI,Delhi,0,,
TXN_00031,CUST_01589,MERCH_0083,DEV_0192,IP_00192,PM_0458,2026-01-01T04:26:50,217.01,INR,SUCCESS,UPI,Kolkata,0,,
TXN_00032,CUST_00735,MERCH_0040,DEV_0320,IP_00601,PM_0010,2026-01-01T04:30:34,324.45,INR,SUCCESS,UPI,Bengaluru,0,,
TXN_00033,CUST_00454,MERCH_0049,DEV_0355,IP_00788,PM_0391,2026-01-01T04:35:53,25501.81,INR,SUCCESS,NET_BANKING,Mumbai,0,,
TXN_00034,CUST_01008,MERCH_0034,DEV_0150,IP_00878,PM_0133,2026-01-01T04:44:49,122.3,INR,SUCCESS,DEBIT_CARD,Hyderabad,0,,
TXN_00035,CUST_00643,MERCH_0056,DEV_0342,IP_00114,PM_0275,2026-01-01T04:47:38,580.02,INR,SUCCESS,UPI,Pune,0,,
TXN_00036,CUST_00625,MERCH_0008,DEV_0313,IP_00365,PM_0389,2026-01-01T04:50:13,12377.95,INR,SUCCESS,CREDIT_CARD,Mumbai,0,,
TXN_00037,CUST_00233,MERCH_0065,DEV_0179,IP_00912,PM_0286,2026-01-01T04:56:50,102.56,INR,PENDING,DEBIT_CARD,Ahmedabad,0,,
TXN_00038,CUST_01026,MERCH_0027,DEV_0080,IP_00335,PM_0444,2026-01-01T05:02:06,94.82,INR,SUCCESS,UPI,Surat,0,,
TXN_00039,CUST_01391,MERCH_0055,DEV_0303,IP_00187,PM_0489,2026-01-01T05:04:11,32895.65,INR,SUCCESS,UPI,Surat,0,,
TXN_00040,CUST_01762,MERCH_0039,DEV_0064,IP_00310,PM_0221,2026-01-01T05:04:38,629.38,INR,SUCCESS,UPI,Delhi,0,,
TXN_00041,CUST_00029,MERCH_0049,DEV_0350,IP_00807,PM_0112,2026-01-01T05:06:22,259.96,INR,SUCCESS,CREDIT_CARD,Pune,0,,
TXN_00042,CUST_00222,MERCH_0044,DEV_0273,IP_00868,PM_0426,2026-01-01T05:08:00,1026.5,INR,SUCCESS,CREDIT_CARD,Hyderabad,0,,
TXN_00043,CUST_00170,MERCH_0014,DEV_0131,IP_00365,PM_0261,2026-01-01T05:18:06,5696.56,INR,SUCCESS,UPI,Jaipur,0,,
TXN_00044,CUST_01303,MERCH_0072,DEV_0386,IP_00016,PM_0107,2026-01-01T05:19:21,689.22,INR,SUCCESS,NET_BANKING,Surat,0,,
TXN_00045,CUST_01153,MERCH_0063,DEV_0066,IP_00940,PM_0309,2026-01-01T05:28:17,140.04,INR,SUCCESS,DEBIT_CARD,Jaipur,0,,
TXN_00046,CUST_01561,MERCH_0026,DEV_0093,IP_00535,PM_0462,2026-01-01T05:35:32,246.85,INR,SUCCESS,UPI,Ahmedabad,0,,
TXN_00047,CUST_01838,MERCH_0016,DEV_0337,IP_00881,PM_0496,2026-01-01T05:46:33,12849.25,INR,SUCCESS,UPI,Pune,0,,
TXN_00048,CUST_00800,MERCH_0014,DEV_0453,IP_00594,PM_0389,2026-01-01T05:50:28,68.11,INR,SUCCESS,CREDIT_CARD,Chennai,0,,
TXN_00049,CUST_01531,MERCH_0019,DEV_0101,IP_00368,PM_0437,2026-01-01T05:52:42,200.15,INR,SUCCESS,UPI,Mumbai,0,,
TXN_00050,CUST_01192,MERCH_0048,DEV_0380,IP_00850,PM_0226,2026-01-01T05:53:34,1159.29,INR,FAILED,WALLET,Ahmedabad,0,,
TXN_00051,CUST_00884,MERCH_0098,DEV_0427,IP_00292,PM_0110,2026-01-01T05:56:31,293.5,INR,SUCCESS,DEBIT_CARD,Ahmedabad,0,,
TXN_00052,CUST_01541,MERCH_0023,DEV_0017,IP_00035,PM_0066,2026-01-01T06:00:45,199.75,INR,SUCCESS,UPI,Kolkata,0,,
TXN_00053,CUST_01478,MERCH_0042,DEV_0284,IP_00283,PM_0286,2026-01-01T06:12:39,14802.01,INR,SUCCESS,DEBIT_CARD,Ahmedabad,0,,
TXN_00054,CUST_00652,MERCH_0045,DEV_0123,IP_00627,PM_0267,2026-01-01T06:19:43,258.83,INR,SUCCESS,UPI,Mumbai,0,,
